%año         Mes      Dia      Hora     Cont    T1mx     T1mn  
 2011.00    12.00     8.00     7.00   264.00    27.02    21.97
 2011.00    12.00     9.00     7.00   265.00    28.25    21.80
 2011.00    12.00    10.00     7.00   266.00    29.07    20.67
 2011.00    12.00    11.00     7.00   267.00    27.64    23.09
 2011.00    12.00    12.00     7.00   268.00    27.60    20.84
 2011.00    12.00    13.00     7.00   269.00    25.58    20.49
 2011.00    12.00    14.00     7.00   270.00    26.58    20.39
 2011.00    12.00    15.00     7.00   271.00    26.61    20.01
 2011.00    12.00    16.00     7.00   272.00    24.01    20.29
 2011.00    12.00    17.00     7.00   273.00    24.76    19.78
 2011.00    12.00    18.00     7.00   274.00    22.54    14.35
 2011.00    12.00    19.00     7.00   275.00    27.67    18.72
 2011.00    12.00    20.00     7.00   276.00    24.52    17.29
 2011.00    12.00    21.00     7.00   277.00    26.68    19.78
 2011.00    12.00    22.00     7.00   278.00    28.87    19.92
 2011.00    12.00    23.00     7.00   279.00    24.49    19.33
 2011.00    12.00    24.00     7.00   280.00    27.22    20.46
 2011.00    12.00    25.00     7.00   281.00    27.94    19.51
 2011.00    12.00    26.00     7.00   282.00    25.55    19.24
 2011.00    12.00    27.00     7.00   283.00    28.15    20.02
 2011.00    12.00    28.00     7.00   284.00    28.18    19.65
 2011.00    12.00    29.00     7.00   285.00    26.30    19.92
 2011.00    12.00    30.00     7.00   286.00    28.76    20.23
 2011.00    12.00    31.00     7.00   287.00    27.70    18.72
 2012.00     1.00     1.00     7.00   288.00    27.67    20.30
 2012.00     1.00     2.00     7.00   289.00    27.26    20.88
 2012.00     1.00     3.00     7.00   290.00    28.87    19.92
 2012.00     1.00     4.00     7.00   291.00    28.25    18.93
 2012.00     1.00     5.00     7.00   292.00    23.94    12.88
 2012.00     1.00     6.00     7.00   293.00    90.60    15.41
 2012.00     1.00     7.00     7.00   294.00    24.18   -40.00
 2012.00     1.00     8.00     7.00   295.00    29.58    20.91
 2012.00     1.00     9.00     7.00   296.00    29.31    19.68
 2012.00     1.00    10.00     7.00   297.00    28.08    19.27
 2012.00     1.00    11.00     7.00   298.00    28.32    19.89
 2012.00     1.00    12.00     7.00   299.00    29.17    20.16
 2012.00     1.00    13.00     7.00   300.00    29.38    20.57
 2012.00     1.00    14.00     7.00   301.00    29.69    19.85
 2012.00     1.00    15.00     7.00   302.00    27.26    21.46
 2012.00     1.00    16.00     7.00   303.00    30.20    21.66
 2012.00     1.00    17.00     7.00   304.00    29.96    20.33
 2012.00     1.00    18.00     7.00   305.00    29.65    19.48
 2012.00     1.00    19.00     7.00   306.00    29.00    19.75
 2012.00     1.00    20.00     7.00   307.00    27.36    18.93
 2012.00     1.00    21.00     7.00   308.00    28.32    18.45
 2012.00     1.00    22.00     7.00   309.00    28.93    18.59
 2012.00     1.00    23.00     7.00   310.00    28.66    19.68
 2012.00     1.00    24.00     7.00   311.00    28.56    20.16
 2012.00     1.00    25.00     7.00   312.00    29.38    20.57
 2012.00     1.00    26.00     7.00   313.00    28.73    20.71
 2012.00     1.00    27.00     7.00   314.00    26.99    21.19
 2012.00     1.00    28.00     7.00   315.00    29.69    18.90
 2012.00     1.00    29.00     7.00   316.00    28.35    19.41
 2012.00     1.00    30.00     7.00   317.00    26.03    21.12
 2012.00     1.00    31.00     7.00   318.00    27.26    20.64
 2012.00     2.00     1.00     7.00   319.00    30.03    19.44
 2012.00     2.00     2.00     7.00   320.00    29.41    20.43
 2012.00     2.00     3.00     7.00   321.00    29.45    20.64
 2012.00     2.00     4.00     7.00   322.00    29.69    20.30
 2012.00     2.00     5.00     7.00   323.00    28.59    21.43
 2012.00     2.00     6.00     7.00   324.00    29.79    21.84
 2012.00     2.00     7.00     7.00   325.00    29.31    21.66
 2012.00     2.00     8.00     7.00   326.00    29.86    22.76
 2012.00     2.00     9.00     7.00   327.00    28.56    21.94
 2012.00     2.00    10.00     7.00   328.00    29.14    19.82
 2012.00     2.00    11.00     7.00   329.00    28.76    20.13
 2012.00     2.00    12.00     7.00   330.00    29.31    21.39
 2012.00     2.00    13.00     7.00   331.00    29.07    19.75
 2012.00     2.00    14.00     7.00   332.00    29.41    20.30
 2012.00     2.00    15.00     7.00   333.00    29.38    18.86
 2012.00     2.00    16.00     7.00   334.00    29.48    20.16
 2012.00     2.00    17.00     7.00   335.00    29.38    20.37
 2012.00     2.00    18.00     7.00   336.00    28.87    18.73
 2012.00     2.00    19.00     7.00   337.00    29.45    20.09
 2012.00     2.00    20.00     7.00   338.00    28.63    21.39
 2012.00     2.00    21.00     7.00   339.00    27.43    18.73
 2012.00     2.00    22.00     7.00   340.00    28.97    21.32
 2012.00     2.00    23.00     7.00   341.00    29.99    20.50
 2012.00     2.00    24.00     7.00   342.00    29.41    19.85
 2012.00     2.00    25.00     7.00   343.00    28.94    20.74
 2012.00     2.00    26.00     7.00   344.00    29.38    22.90
 2012.00     2.00    27.00     7.00   345.00    29.38    20.67
 2012.00     2.00    28.00     7.00   346.00    29.00    19.75
 2012.00     2.00    29.00     7.00   347.00    28.59    20.98
 2012.00     3.00     1.00     7.00   348.00    28.76    19.96
 2012.00     3.00     2.00     7.00   349.00    28.90    18.19
 2012.00     3.00     3.00     7.00   350.00    29.24    19.82
 2012.00     3.00     4.00     7.00   351.00    29.18    21.39
 2012.00     3.00     5.00     7.00   352.00    31.63    23.72
 2012.00     3.00     6.00     7.00   353.00    29.38    21.80
 2012.00     3.00     7.00     7.00   354.00    28.49    20.78
 2012.00     3.00     8.00     7.00   355.00    29.38    21.39
 2012.00     3.00     9.00     7.00   356.00    28.83    20.57
 2012.00     3.00    10.00     7.00   357.00    29.38    21.66
 2012.00     3.00    11.00     7.00   358.00    29.07    21.39
 2012.00     3.00    12.00     7.00   359.00    29.99    21.66
 2012.00     3.00    13.00     7.00   360.00    29.72    21.94
 2012.00     3.00    14.00     7.00   361.00    27.64    21.94
 2012.00     3.00    15.00     7.00   362.00    27.91    21.39
 2012.00     3.00    16.00     7.00   363.00    28.97    22.11
 2012.00     3.00    17.00     7.00   364.00    29.58    22.01
 2012.00     3.00    18.00     7.00   365.00    29.04    22.04
 2012.00     3.00    19.00     7.00   366.00    24.90    19.85
 2012.00     3.00    20.00     7.00   367.00    28.59    19.58
 2012.00     3.00    21.00     7.00   368.00    29.04    22.49
 2012.00     3.00    22.00     7.00   369.00    29.51    22.21
 2012.00     3.00    23.00     7.00   370.00    27.33    21.32
 2012.00     3.00    24.00     7.00   371.00    28.01    21.66
 2012.00     3.00    25.00     7.00   372.00    28.49    20.78
 2012.00     3.00    26.00     7.00   373.00    28.49    20.02
 2012.00     3.00    27.00     7.00   374.00    28.59    20.02
 2012.00     3.00    28.00     7.00   375.00    28.97    22.18
 2012.00     3.00    29.00     7.00   376.00    28.90    21.08
 2012.00     3.00    30.00     7.00   377.00    29.45    22.42
 2012.00     3.00    31.00     7.00   378.00    29.38    21.60
 2012.00     4.00     1.00     7.00   379.00    29.86    21.39
 2012.00     4.00     2.00     7.00   380.00    29.65    23.85
 2012.00     4.00     3.00     7.00   381.00    29.72    23.65
 2012.00     4.00     4.00     7.00   382.00    31.09    23.10
 2012.00     4.00     5.00     7.00   383.00    30.30    23.17
 2012.00     4.00     6.00     7.00   384.00    29.69    23.65
 2012.00     4.00     7.00     7.00   385.00    29.93    22.49
 2012.00     4.00     8.00     7.00   386.00    30.30    23.51
 2012.00     4.00     9.00     7.00   387.00    29.69    20.47
 2012.00     4.00    10.00     7.00   388.00    29.38    21.12
 2012.00     4.00    11.00     7.00   389.00    29.82    22.55
 2012.00     4.00    12.00     7.00   390.00    29.39    20.84
 2012.00     4.00    13.00     7.00   391.00    29.63    19.48
 2012.00     4.00    14.00     7.00   392.00    29.45    20.85
 2012.00     4.00    15.00     7.00   393.00    29.73    21.19
 2012.00     4.00    16.00     7.00   394.00    29.39    21.43
 2012.00     4.00    17.00     7.00   395.00    30.75    23.31
 2012.00     4.00    18.00     7.00   396.00    28.69    23.37
 2012.00     4.00    19.00     7.00   397.00    29.52    22.01
 2012.00     4.00    20.00     7.00   398.00    30.47    22.49
 2012.00     4.00    21.00     7.00   399.00    29.11    23.17
 2012.00     4.00    22.00     7.00   400.00    29.69    22.69
 2012.00     4.00    23.00     7.00   401.00    30.57    23.10
 2012.00     4.00    24.00     7.00   402.00    24.91    21.39
 2012.00     4.00    25.00     7.00   403.00    24.64    21.36
 2012.00     4.00    26.00     7.00   404.00    28.22    22.21
